[2025-04-11 01:27:15] Starting GetFlyWings - storageSC: 9, modifier: 56
[2025-04-11 01:27:50] Starting GetFlyWings - storageSC: 9, modifier: 56
[2025-04-11 01:34:38] Pressing ALT: , modifier: 56
[2025-04-11 01:34:39] Releasing ALT: , modifier: 56
[2025-04-11 01:35:11] Pressing ALT: , modifier: 56
[2025-04-11 01:35:12] Releasing ALT: , modifier: 56
[2025-04-11 01:35:40] Pressing ALT: , modifier: 56
[2025-04-11 01:35:41] Releasing ALT: , modifier: 56
[2025-04-11 01:36:10] Pressing ALT: , modifier: 56
[2025-04-11 01:36:11] Releasing ALT: , modifier: 56
[2025-04-11 01:36:42] Pressing ALT: , modifier: 56
[2025-04-11 01:36:42] Releasing ALT: , modifier: 56
[2025-04-11 01:37:14] Pressing ALT: , modifier: 56
[2025-04-11 01:37:15] Releasing ALT: , modifier: 56
[2025-04-11 01:37:46] Pressing ALT: , modifier: 56
[2025-04-11 01:37:47] Releasing ALT: , modifier: 56
